grouping,metric,unit,row,column,mean,available_n,eligible_n
model,cooperative_action_rate,rate,Claude Sonnet 4.5,Prisoner's Dilemma — Deployment race,0.8020833333333334,96,96
model,cooperative_action_rate,rate,Claude Sonnet 4.5,Chicken — Escalation,0.75,96,96
model,cooperative_action_rate,rate,Claude Sonnet 4.5,Stag Hunt — Incident response,0.6979166666666666,96,96
model,cooperative_action_rate,rate,Claude Sonnet 4.5,Battle of the Sexes — Protocol selection,0.6666666666666666,96,96
model,cooperative_action_rate,rate,Claude Sonnet 4.5,Weighted mean,0.7291666666666666,384,384
model,cooperative_action_rate,rate,GPT-5 mini,Prisoner's Dilemma — Deployment race,0.96875,96,96
model,cooperative_action_rate,rate,GPT-5 mini,Chicken — Escalation,0.90625,96,96
model,cooperative_action_rate,rate,GPT-5 mini,Stag Hunt — Incident response,0.7395833333333334,96,96
model,cooperative_action_rate,rate,GPT-5 mini,Battle of the Sexes — Protocol selection,0.5104166666666666,96,96
model,cooperative_action_rate,rate,GPT-5 mini,Weighted mean,0.78125,384,384
model,cooperative_action_rate,rate,Gemini 3 Flash Preview,Prisoner's Dilemma — Deployment race,0.9375,96,96
model,cooperative_action_rate,rate,Gemini 3 Flash Preview,Chicken — Escalation,0.71875,96,96
model,cooperative_action_rate,rate,Gemini 3 Flash Preview,Stag Hunt — Incident response,0.84375,96,96
model,cooperative_action_rate,rate,Gemini 3 Flash Preview,Battle of the Sexes — Protocol selection,0.7604166666666666,96,96
model,cooperative_action_rate,rate,Gemini 3 Flash Preview,Weighted mean,0.8151041666666666,384,384
model,cooperative_action_rate,rate,Llama 3.3 70B,Prisoner's Dilemma — Deployment race,1.0,96,96
model,cooperative_action_rate,rate,Llama 3.3 70B,Chicken — Escalation,0.8333333333333334,96,96
model,cooperative_action_rate,rate,Llama 3.3 70B,Stag Hunt — Incident response,0.9791666666666666,96,96
model,cooperative_action_rate,rate,Llama 3.3 70B,Battle of the Sexes — Protocol selection,0.46875,96,96
model,cooperative_action_rate,rate,Llama 3.3 70B,Weighted mean,0.8203125,384,384
model,cooperative_action_rate,rate,Average,Prisoner's Dilemma — Deployment race,0.9270833333333334,384,384
model,cooperative_action_rate,rate,Average,Chicken — Escalation,0.8020833333333334,384,384
model,cooperative_action_rate,rate,Average,Stag Hunt — Incident response,0.8151041666666666,384,384
model,cooperative_action_rate,rate,Average,Battle of the Sexes — Protocol selection,0.6015625,384,384
