sample_id,policy,v,d,design_stratum,threshold_region,expected_action,observed_action,optimal_action,utility_regret,certificate_valid,probabilistic_certificate_valid
phase1-000-exact_boundary,cooperate,0.0,0.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-001-just_unsafe,cooperate,0.25,0.0,just_unsafe,unsafe,ATTACK,COOPERATE,0,0.25,False,
phase1-002-broad_grid,cooperate,1.0,0.0,broad_grid,unsafe,ATTACK,COOPERATE,0,1.0,False,
phase1-003-broad_grid,cooperate,1.0,2.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-004-broad_grid,cooperate,1.0,4.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-005-broad_grid,cooperate,1.0,6.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-006-broad_grid,cooperate,1.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-007-broad_grid,cooperate,2.0,0.0,broad_grid,unsafe,ATTACK,COOPERATE,0,2.0,False,
phase1-008-broad_grid,cooperate,2.0,2.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-009-broad_grid,cooperate,2.0,4.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-010-broad_grid,cooperate,2.0,6.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-011-broad_grid,cooperate,2.0,8.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-012-just_safe,cooperate,2.25,2.0,just_safe,safe,COOPERATE,COOPERATE,1,0.0,True,
phase1-013-exact_boundary,cooperate,2.5,2.0,exact_boundary,boundary,COOPERATE,COOPERATE,1,0.0,True,
phase1-014-just_unsafe,cooperate,2.75,2.0,just_unsafe,unsafe,ATTACK,COOPERATE,0,0.25,False,
phase1-015-broad_grid,cooperate,4.0,0.0,broad_grid,unsafe,ATTACK,COOPERATE,0,4.0,False,
phase1-016-broad_grid,cooperate,4.0,2.0,broad_grid,unsafe,ATTACK,COOPERATE,0,1.5,False,
phase1-017-broad_grid,cooperate,4.0,4.0,broad_grid,safe,COOPERATE,COOPERATE,1,0.0,True,
